Number;Text;Confidence;Transcript;Milis
1;The birch canoe slid on the smooth planks.;0.914;the birch canoes slid on the smooth planks.;2337
2;Glue the sheet to the dark blue background.;0.801;Lucy she's to the dark blue background.;2908
3;It's easy to tell the depth of a well.;0.912;it's easy to tell the depth of a well.;1695
4;These days a chicken leg is a rare dish.;1.0;these days a chicken leg is a rare dish.;2567
5;Rice is often served in round bowls.;0.96;rice is often served in around bowls.;1859
6;The juice of lemons makes fine punch.;0.977;the juice of lemons makes find punch.;2511
7;The box was thrown beside the parked truck.;0.911;the box was thrown beside the park truck.;1808
8;The hogs were fed chopped corn and garbage.;0.941;the hawks were fed chopped corn and garbage.;2996
9;Four hours of steady work faced us.;0.892;four hours of study work faced us.;1342
10;Large size in stockings is hard to sell.;0.986;large size and stockings is hard to sell.;2339
11;The boy was there when the sun rose.;0.992;the boy was there when the sun rose.;1888
12;A rod is used to catch pink salmon.;0.752;a rod is used to catch pink Selman.;2783
13;The source of the huge river is the clear spring.;0.79;the source of the U. tripper is the clear spring.;2035
14;Kick the ball straight and follow through.;0.961;kicked the ball straight and follow through.;1950
15;Help the woman get back to her feet.;0.78;help the women get back to her feet.;2285
16;A pot of tea helps to pass the evening.;0.999;a pot of tea helps to pass the evening.;1949
17;Smoky fires lack flame and heat.;0.985;smoky fires black flame and he.;1645
18;The soft cushion broke the man's fall.;1.0;the soft cushion broke the man's fall.;2146
19;The salt breeze came across from the sea.;0.872;the salt breeze came across from the C..;2316
20;The girl at the booth sold fifty bonds.;0.999;the girl at the booth sold fifty bonds.;2192
21;The small pup gnawed a hole in the sock.;0.964;the small pub not a hole in the sock.;2455
22;The fish twisted and turned on the bent hook.;0.889;the fish twisted and turned on the band's hook.;2049
23;Press the pants and sew a button on the vest.;0.522;press the fence and sue a button on the fast.;3083
24;The swan dive was far short of perfect.;0.987;the swan dive was far short of perfect.;3135
25;The beauty of the view stunned the young boy.;0.813;the beauty of the few stuns the young boy.;2478
26;Two blue fish swam in the tank.;0.735;to Prue fish swim in thank.;2326
27;Her purse was full of useless trash.;0.902;her purse was full of useless trash.;2741
28;The colt reared and threw the tall rider.;0.57;the colts reared in through the tall writer.;3000
29;"It snowed, rained, and hailed the same morning.";0.669;it's snow to rain and hills the same morning.;3449
30;Read verse out loud for pleasure.;0.789;read first I would love for pleasure.;2127
31;Hoist the load to your left shoulder.;0.999;hoist the load to your left shoulder.;2521
32;Take the winding path to reach the lake.;0.968;take the winding path to reach the lake.;2556
33;Note closely the size of the gas tank.;0.79;notes closely the size of the gas tank.;2446
34;Wipe the grease off his dirty face.;0.845;wiped the grease off his dirty face.;2704
35;Mend the coat before you go out.;0.682;men's the CO two before you go out.;1982
36;The wrist was badly strained and hung limp.;0.953;the wrist was badly strained and hung limp.;2831
37;The stray cat gave birth to kittens.;1.0;the stray cat gave birth to kittens.;2450
38;The young girl gave no clear response.;0.999;the young girl gave no clear response.;1514
39;The meal was cooked before the bell rang.;0.73;the meal was cooked before the bell rang.;2405
40;What joy there is in living.;0.971;what a joy there is in living.;2515
41;A king ruled the state in the early days.;0.689;a king ruled the state in the early days.;2507
42;The ship was torn apart on the sharp reef.;0.862;the ship was torn apart on the sharp brief.;2040
43;Sickness kept him home the third week.;1.0;sickness kept him home the third week.;1908
44;The wide road shimmered in the hot sun.;0.656;the White Rose shivered in the hot sun.;2639
45;The lazy cow lay in the cool grass.;0.591;the lazy cow lay in the cool gross.;3210
46;Lift the square stone over the fence.;0.639;lift the square stone over the fence.;2944
47;The rope will bind the seven books at once.;0.583;the rover will find to seven books and once.;3428
48;Hop over the fence and plunge in.;0.56;hopo over defense and plunge in.;3744
49;The friendly gang left the drug store.;0.787;the friendly gang left the drugstore.;2112
50;Mesh wire keeps chicks inside.;0.676;mesh wire keeps checks inside.;3471
51;The frosty air passed through the coat.;0.762;the frosty air pass through the code.;3267
52;The crooked maze failed to fool the mouse.;0.521;the crooks mace fields to fool the miles.;4304
53;Adding fast leads to wrong sums.;0.748;adding fast leads to Rome sons.;2440
54;The show was a flop from the very start.;0.886;the show was a flow from the very start.;2602
55;A saw is a tool used for making boards.;0.686;a small is a too use for making ports.;3610
56;The wagon moved on well oiled wheels.;0.837;the wagon moved on well oiled wheels.;2285
57;March the soldiers past the next hill.;0.855;March to soldiers past the next hill.;3000
58;A cup of sugar makes sweet fudge.;0.72;a Cup of sugar makes sweet footage.;2306
59;Place a rosebush near the porch steps.;0.728;place a rose bush near the porch steps.;2653
60;Both lost their lives in the raging storm.;0.93;both lost their lives in a raging storm.;3365
61;We talked of the slide show in the circus.;0.615;we talked of the slide show in the circus.;2370
62;Use a pencil to write the first draft.;0.738;choose a pencil to write the first for all.;3061
63;He ran half way to the hardware store.;0.606;he ran halfway to the hardware store.;3439
64;The clock struck to mark the third period.;0.93;the clock struck to mark the third period.;2520
65;A small creek cut across the field.;0.94;a small creek cuts across the field.;2074
66;Cars and busses stalled in snow drifts.;0.683;Carson buses stalled in snowdrifts.;3220
67;"The set of china hit, the floor with a crash.";0.818;the set of China hits the floor with a crash.;3834
68;This is a grand season for hikes on the road.;0.859;this is a grand season for hikes on the road.;2981
69;The dune rose from the edge of the water.;0.915;the June rose from the edge of the water.;2012
70;Those words were the cue for the actor to leave.;0.873;those words were to Q. forty actor to leave.;2488
71;A yacht slid around the point into the bay.;0.519;Hey y'all slid around the point into the bay.;3348
72;The two met while playing on the sand.;0.699;two minutes while playing on the scent.;3006
73;The ink stain dried on the finished page.;0.777;the ink stained dried on the finished page.;2336
74;The walled town was seized without a fight.;0.825;the walls town was seized without a fight.;2051
